Time,Inertial_X_Position,Inertial_Y_Position,Inertial_Z_Position,Body_U_Vel,Body_V_Vel,Body_W_Vel,Body_P_Vel,Body_Q_Vel,Body_R_Vel,Roll_Angle,Pitch_Angle,Yaw_Angle,Phase,Inertial_Vx,Inertial_Vy,Inertial_Vz,Eul_Phi_Dot,Eul_Theta_Dot,Eul_Psi_Dot,delta_R,delta_L,delta_s,delta_a,GAMMA_deg,Wind_X,Wind_Y,Wind_Z
0,0,0,-1000,6,0,3,0,0,0,0,0,0,1,6,0,3,0,0,0,0,0,0,0,7,0,0,0
0.05,0.304578737003027,0,-999.868130561602,6.19508678108689,0,2.21885966723874,0,-0.557406013793567,0,0,-0.842682809365209,0,1,6.16178385288059,0,2.30973119615171,0,-0.557406013793567,0,0,0,0,0,7,0,0,0
0.1,0.614492385365254,0,-999.765695705722,6.31005871532646,0,1.48722160529128,0,-0.941202309341716,0,0,-3.02717343599834,0,1,6.2227141395321,0,1.81837780226767,0,-0.941202309341716,0,0,0,0,0,7,0,0,0
0.15,0.925899124656237,0,-999.683415980891,6.35082588911332,0,0.829387938804363,0,-1.17744331772703,0,0,-6.09388656917062,0,1,6.22689298551408,0,1.49889211547116,0,-1.17744331772703,0,0,0,0,0,7,0,0,0
0.2,1.23665262408629,0,-999.613400848789,6.33365110781645,0,0.264585629852327,0,-1.29088878324334,0,0,-9.65576530894123,0,1,6.19954538936846,0,1.32317001032717,0,-1.29088878324334,0,0,0,0,0,7,0,0,0
0.25,1.54555838690537,0,-999.549155284576,6.27988115798456,0,-0.196560254257648,0,-1.30547869540983,0,0,-13.3955175106999,0,1,6.15456821550383,0,1.26365872476444,0,-1.30547869540983,0,0,0,0,0,7,0,0,0
0.3,1.85194459489339,0,-999.485530565289,6.21091540195104,0,-0.552565295563215,0,-1.24396931005726,0,0,-17.0628823075197,0,1,6.0996657128855,0,1.29417028520306,0,-1.24396931005726,0,0,0,0,0,7,0,0,0
0.35,2.15544146407916,0,-999.418638725847,6.14456266405976,0,-0.809428112791554,0,-1.12723930304278,0,0,-20.4702719170748,0,1,6.03963097589117,0,1.39056890422242,0,-1.12723930304278,0,0,0,0,0,7,0,0,0
0.4,2.45588738287105,0,-999.345733990984,6.0932452725036,0,-0.977986039319046,0,-0.973662579955937,0,0,-23.4864467152203,0,1,5.97820540211593,0,1.53138983087338,0,-0.973662579955937,0,0,0,0,0,7,0,0,0
0.45,2.75330074527073,0,-999.26506782674,6.06381377156571,0,-1.07134736287085,0,-0.798765008765695,0,0,-26.0287708073489,0,1,5.91891546442653,0,1.69825273535264,0,-0.798765008765695,0,0,0,0,0,7,0,0,0
0.5,3.04787588216855,0,-999.175730587147,6.05838096912526,0,-1.1029935270128,0,-0.615200294060898,0,0,-28.054949269911,0,1,5.86526053718238,0,1.87597801657224,0,-0.615200294060898,0,0,0,0,0,7,0,0,0
0.55,3.33997875670937,0,-999.077494482648,6.07558210908244,0,-1.08567734102415,0,-0.432961180399529,0,0,-29.5550600992408,0,1,5.82056094110483,0,2.05242870373144,0,-0.432961180399529,0,0,0,0,0,7,0,0,0
0.6,3.63013126634694,0,-998.970669264549,6.11185000538804,0,-1.03095773035353,0,-0.259704059452844,0,0,-30.5443817400857,0,1,5.78768230612358,0,2.21817894984186,0,-0.259704059452844,0,0,0,0,0,7,0,0,0
0.65,3.91898148240766,0,-998.855976345468,6.16249580955817,0,-0.949118454025458,0,-0.1010851039963,0,0,-31.0571865914301,0,1,5.76876329736352,0,2.36612562252836,0,-0.1010851039963,0,0,0,0,0,7,0,0,0
0.7,4.20726178864174,0,-998.734441834644,6.22252821267459,0,-0.849246990023697,0,0.0389499681967316,0,0,-31.1414396650184,0,1,5.76501024223971,0,2.49113121181257,0,0.0389499681967316,0,0,0,0,0,7,0,0,0
0.75,4.49573905498784,0,-998.60730563006,6.28721808921214,0,-0.739326858766091,0,0.157937983485857,0,0,-30.8542386242491,0,1,5.77658627281962,0,2.58974256212488,0,0.157937983485857,0,0,0,0,0,7,0,0,0
0.8,4.78516186419599,0,-998.47594251446,6.35244424493277,0,-0.626275558340938,0,0.254718965666411,0,0,-30.257832051325,0,1,5.80260465898211,0,2.6599902502667,0,0.254718965666411,0,0,0,0,0,7,0,0,0
0.85,5.07621000793992,0,-998.341791696262,6.41486304572401,0,-0.515920177735227,0,0.32927923322394,0,0,-29.4161128402799,0,1,5.84122501447293,0,2.70124635223922,0,0.32927923322394,0,0,0,0,0,7,0,0,0
0.9,5.36945114116595,0,-998.206292723299,6.47194492461211,0,-0.412938146173758,0,0.382591211647193,0,0,-28.3915605338347,0,1,5.88984033786265,0,2.71410571169657,0,0.382591211647193,0,0,0,0,0,7,0,0,0
0.95,5.66530859196803,0,-998.070827479355,6.52191940447364,0,-0.320803465163353,0,0.416433205218533,0,0,-27.2426687381385,0,1,5.94533124358015,0,2.70025628150743,0,0.416433205218533,0,0,0,0,0,7,0,0,0
